,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
89,"                                273,532,423                            ",                                11.38%                            ,                                CHINASOFT INTERNATIONAL LIMITED                            ,                                  354                            
90,"                                65,033,581                            ",                                4.67%                            ,                                JIANGXI COPPER COMPANY LIMITED                            ,                                  358                            
91,"                                17,101,756                            ",                                1.56%                            ,                                SHANGHAI INDUSTRIAL HOLDINGS LIMITED                            ,                                  363                            
92,"                                85,963,667                            ",                                2.15%                            ,                                SINOTRANS SHIPPING LIMITED                            ,                                  368                            
93,"                                317,185,487                            ",                                3.61%                            ,                                BEIJING ENTERPRISES WATER GROUP LIMITED                            ,                                  371                            
94,"                                12,218,000                            ",                                0.18%                            ,                                FDG KINETIC LIMITED                            ,                                  378                            
95,"                                17,797,675                            ",                                0.35%                            ,                                CHINA GAS HOLDINGS LIMITED                            ,                                  384                            
96,"                                371,280,672                            ",                                1.44%                            ,                                CHINA PETROLEUM & CHEMICAL CORPORATION                            ,                                  386                            
97,"                                12,231,748                            ",                                0.98%                            ,                                HONG KONG EXCHANGES AND CLEARING LIMITED                            ,                                  388                            
98,"                                256,651,299                            ",                                6.09%                            ,                                CHINA RAILWAY GROUP LIMITED                            ,                                  390                            
99,"                                77,186,311                            ",                                6.10%                            ,                                BEIJING ENTERPRISES HOLDINGS LIMITED                            ,                                  392                            
100,"                                41,701,000                            ",                                2.82%                            ,                                COGOBUY GROUP                            ,                                  400                            
101,"                                225,561,500                            ",                                4.33%                            ,                                SOHO CHINA LIMITED                            ,                                  410                            
102,"                                39,018,000                            ",                                0.15%                            ,                                CHINA SHANDONG HI-SPEED FINANCIAL GROUP LIMITED                            ,                                  412                            
103,"                                238,010,000                            ",                                1.76%                            ,                                HUAYI TENCENT ENTERTAINMENT COMPANY LIMITED                            ,                                  419                            
104,"                                79,999,000                            ","
",                                MINTH GROUP LIMITED                            ,                                  425                            
105,"                                176,875,000                            ",                                2.89%                            ,                                KUANGCHI SCIENCE LIMITED                            ,                                  439                            
106,"                                1,074,400                            ",                                0.31%                            ,                                DAH SING FINANCIAL HOLDINGS LTD                            ,                                  440                            
107,"                                147,990,000                            ",                                0.77%                            ,                                GCL NEW ENERGY HOLDINGS LIMITED                            ,                                  451                            
108,"                                338,248,000                            ",                                3.56%                            ,                                SIHUAN PHARMACEUTICAL HOLDINGS GROUP LTD.                            ,                                  460                            
109,"                                22,138,000                            ",                                0.08%                            ,                                UNITED ENERGY GROUP LIMITED                            ,                                  467                            
110,"                                578,000                            ",                                0.04%                            ,                                GREATVIEW ASEPTIC PACKAGING COMPANY LIMITED                            ,                                  468                            
111,"                                455,200                            ",                                0.03%                            ,                                HKR INTERNATIONAL LTD                            ,                                  480                            
112,"                                17,100                            ",                                0.00%                            ,                                LAI SUN DEVELOPMENT COMPANY LIMITED-NEW                            ,                                  488                            
113,"                                111,124,000                            ",                                3.88%                            ,                                DONGFENG MOTOR GROUP COMPANY LIMITED                            ,                                  489                            
114,"                                1,911,789,000                            ",                                8.86%                            ,                                GOME RETAIL HOLDINGS LIMITED                            ,                                  493                            
115,"                                15,720,000                            ",                                0.17%                            ,                                LI & FUNG LIMITED                            ,                                  494                            
116,"                                219,332,100                            ",                                7.83%                            ,                                CHINA FOODS LIMITED                            ,                                  506                            
117,"                                1,060,700                            ",                                0.23%                            ,                                TELEVISION BROADCASTS LTD                            ,                                  511                            
118,"                                13,602,349                            ",                                3.33%                            ,                                ASM PACIFIC TECHNOLOGY LIMITED                            ,                                  522                            
119,"                                186,904,010                            ",                                13.04%                            ,                                GUANGSHEN RAILWAY COMPANY LIMITED                            ,                                  525                            
120,"                                9,376,000                            ",                                0.13%                            ,                                GOLDIN FINANCIAL HOLDINGS LIMITED                            ,                                  530                            
121,"                                257,296,000                            ",                                1.62%                            ,                                GEMDALE PROPERTIES AND INVESTMENT CORPORATION LIMITED                            ,                                  535                            
122,"                                103,679,000                            ",                                4.07%                            ,                                FUFENG GROUP LIMITED                            ,                                  546                            
123,"                                774,140,000                            ",                                3.18%                            ,                                DIGITAL DOMAIN HOLDINGS LIMITED                            ,                                  547                            
124,"                                112,514,000                            ",                                15.04%                            ,                                SHENZHEN EXPRESSWAY COMPANY LIMITED                            ,                                  548                            
125,"                                535,000                            ",                                0.02%                            ,                                YUE YUEN INDUSTRIAL (HOLDINGS) LIMITED                            ,                                  551                            
126,"                                23,956,000                            ",                                1.00%                            ,                                CHINA COMMUNICATIONS SERVICES CORPORATION LIMITED                            ,                                  552                            
127,"                                72,504,000                            ",                                29.95%                            ,                                NANJING PANDA ELECTRONICS COMPANY LIMITED                            ,                                  553                            
128,"                                20,824,000                            ",                                0.43%                            ,                                SHANGHAI INDUSTRIAL URBAN DEVELOPMENT GROUP LIMITED                            ,                                  563                            
129,"                                51,754,700                            ",                                21.27%                            ,                                ZHENGZHOU COAL MINING MACHINERY GROUP COMPANY LIMITED                            ,                                  564                            
130,"                                658,879,000                            ",                                1.57%                            ,                                HANERGY THIN FILM POWER GROUP LIMITED                            ,                                  566                            
131,"                                10,466,400                            ",                                4.08%                            ,                                SHANDONG MOLONG PETROLEUM MACHINERY COMPANY LIMITED                            ,                                  568                            
132,"                                276,766,000                            ",                                6.24%                            ,                                CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO LIMITED                            ,                                  570                            
133,"                                15,378,839                            ",                                1.06%                            ,"                                ZHEJIANG EXPRESSWAY CO., LTD.                            ",                                  576                            
134,"                                212,764,000                            ",                                9.02%                            ,"                                BEIJING JINGNENG CLEAN ENERGY CO., LIMITED                            ",                                  579                            
135,"                                64,116,000                            ",                                1.81%                            ,                                CHINA ORIENTAL GROUP COMPANY LIMITED                            ,                                  581                            
136,"                                35,771,900                            ",                                1.97%                            ,                                CHINA CONCH VENTURE HOLDINGS LIMITED                            ,                                  586                            
137,"                                120,102,000                            ",                                16.98%                            ,                                BEIJING NORTH STAR COMPANY LIMITED                            ,                                  588                            
138,"                                572,000                            ",                                0.09%                            ,                                LUK FOOK HOLDINGS (INTERNATIONAL) LIMITED                            ,                                  590                            
139,"                                68,106,000                            ",                                3.17%                            ,                                SINOTRANS LIMITED                            ,                                  598                            
140,"                                313,468,238                            ",                                3.93%                            ,                                SHENZHEN INVESTMENT LIMITED                            ,                                  604                            
141,"                                253,068,597                            ",                                4.81%                            ,                                CHINA AGRI-INDUSTRIES HOLDINGS LIMITED                            ,                                  606                            
142,"                                4,077,830,000                            ",                                20.65%                            ,                                FULLSHARE HOLDINGS LIMITED                            ,                                  607                            
143,"                                847,500                            ",                                0.04%                            ,                                KERRY LOGISTICS NETWORK LIMITED                            ,                                  636                            
