,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
356,"                                17,365                            ",                                0.00%                            ,"                                BEIJING ELECTRONIC ZONE INVESTMENT AND DEVELOPMENT CO., LTD (A #600658)                            ",                                90658                            
357,"                                221,909,647                            ",                                11.07%                            ,"                                FUYAO GLASS INDUSTRY GROUP CO.,LTD (A #600660)                            ",                                90660                            
358,"                                1,347,001                            ",                                0.74%                            ,"                                SHANGHAI XIN NAN YANG CO.,LTD (A #600661)                            ",                                90661                            
359,"                                1,502,730                            ",                                0.14%                            ,"                                SHANGHAI QIANGSHENG HOLDING CO.,LTD. (A #600662)                            ",                                90662                            
360,"                                3,540,410                            ",                                0.14%                            ,"                                SHANGHAI LUJIAZUI FINANCE & TRADE ZONE DEVELOPMENT CO.,LTD. (A #600663)                            ",                                90663                            
361,"                                7,921,431                            ",                                0.31%                            ,"                                HARBIN PHARMACEUTICAL GROUP CO.,LTD. (A #600664)                            ",                                90664                            
362,"                                4,154,475                            ",                                0.52%                            ,"                                AURORA OPTOELECTRONICS CO., LTD (A #600666)                            ",                                90666                            
363,"                                1,955,156                            ",                                0.16%                            ,                                WUXI TAIJI INDUSTRY COMPANY LIMITED. (A #600667)                            ,                                90667                            
364,"                                694,068                            ",                                0.20%                            ,"                                ZHEJIANG JIANFENG GROUP CO.,LTD (A #600668)                            ",                                90668                            
365,"                                5,705,093                            ",                                0.23%                            ,"                                GUANGDONG HEC TECHNOLOGY HOLDING CO., LTD (A #600673)                            ",                                90673                            
366,"                                8,279,337                            ",                                0.18%                            ,"                                SICHUAN CHUANTOU ENERGY CO.,LTD. (A #600674)                            ",                                90674                            
367,"                                1,016,742                            ",                                0.05%                            ,                                CHINA ENTERPRISE COMPANY LIMITED (A #600675)                            ,                                90675                            
368,"                                1,199,513                            ",                                0.13%                            ,"                                SHANGHAI JIAO YUN GROUP CO., LTD. (A #600676)                            ",                                90676                            
369,"                                18,400                            ",                                0.00%                            ,"                                AEROSPACE COMMUNICATIONS HOLDINGS GROUP CO.,LTD. (A #600677)                            ",                                90677                            
370,"                                1,935,573                            ",                                0.26%                            ,"                                NANJING XINJIEKOU DEPARTMENT STORE CO.,LTD (A #600682)                            ",                                90682                            
371,"                                4,115,168                            ",                                0.57%                            ,"                                GUANGZHOU PEARL RIVER INDUSRIAL DEVELOPMENT CO.,LTD. (A #600684)                            ",                                90684                            
372,"                                2,342,276                            ",                                0.42%                            ,                                CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED (A #600685)                            ,                                90685                            
373,"                                344,793                            ",                                0.07%                            ,"                                XIAMEN KING LONG MOTOR GROUP CO.,LTD. (A #600686)                            ",                                90686                            
374,"                                1,749,841                            ",                                0.16%                            ,"                                GANSU GANGTAI HOLDING(GROUP) CO.,LTD (A #600687)                            ",                                90687                            
375,"                                11,046,981                            ",                                0.15%                            ,"                                SINOPEC SHANGHAI PETROCHEMICAL CO.,LTD (A #600688)                            ",                                90688                            
376,"                                372,491,554                            ",                                6.78%                            ,"                                QINGDAO HAIER CO.,LTD (A #600690)                            ",                                90690                            
377,"                                286,195                            ",                                0.09%                            ,"                                DASHANG CO.,LTD. (A #600694)                            ",                                90694                            
378,"                                1,799,741                            ",                                1.15%                            ,"                                CHANG CHUN EURASIA GROUP CO., LTD. (A #600697)                            ",                                90697                            
379,"                                15,433,434                            ",                                2.23%                            ,                                NINGBO JOYSON ELECTRONIC CORP. (A #600699)                            ,                                90699                            
380,"                                25,930,362                            ",                                0.63%                            ,"                                SAN'AN OPTOELECTRONICS CO.,LTD (A #600703)                            ",                                90703                            
381,"                                13,628,748                            ",                                1.01%                            ,"                                WUCHAN ZHONGDA GROUP CO., LTD (A #600704)                            ",                                90704                            
382,"                                18,607,912                            ",                                0.24%                            ,"                                AVIC CAPITAL CO.,LTD. (A #600705)                            ",                                90705                            
383,"                                8,593,620                            ",                                0.88%                            ,"                                BRIGHT REAL ESTATE GROUP CO., LIMITED (A #600708)                            ",                                90708                            
384,"                                10,951,535                            ",                                0.73%                            ,"                                CHENGTUN MINING GROUP CO.,LTD (A #600711)                            ",                                90711                            
385,"                                887,441                            ",                                0.09%                            ,                                JIANGSU PHOENIX PROPERTY INVESTMENT COMPANY LIMITED (A #600716)                            ,                                90716                            
386,"                                1,453,985                            ",                                0.08%                            ,"                                TIANJIN PORT HOLDINGS CO.,LTD. (A #600717)                            ",                                90717                            
387,"                                13,900,699                            ",                                1.12%                            ,                                NEUSOFT CORPORATION (A #600718)                            ,                                90718                            
388,"                                2,589,895                            ",                                0.33%                            ,"                                GANSU QILIANSHAN CEMENT GROUP CO.,LTD. (A #600720)                            ",                                90720                            
389,                                100                            ,                                0.00%                            ,"                                BEIJING CAPITAL RETAILING GROUP CO., LTD. (A #600723)                            ",                                90723                            
390,"                                56,895                            ",                                0.00%                            ,                                NINGBO FUDA COMPANY LIMITED (A #600724)                            ,                                90724                            
391,"                                1,078,337                            ",                                0.26%                            ,"                                CHONGQING DEPARTMENT STORE CO.,LTD. (A #600729)                            ",                                90729                            
392,"                                619,611                            ",                                0.10%                            ,"                                CHINA HI-TECH GROUP CO.,LTD. (A #600730)                            ",                                90730                            
393,"                                15,419,290                            ",                                1.35%                            ,"                                SUZHOU NEW DISTRICT HI-TECH INDUSTRIAL CO.,LTD (A #600736)                            ",                                90736                            
394,"                                2,184,348                            ",                                0.16%                            ,"                                COFCO TUNHE SUGAR CO.,LTD. (A #600737)                            ",                                90737                            
395,"                                7,991,938                            ",                                0.58%                            ,"                                LIAONING CHENGDA CO.,LTD. (A #600739)                            ",                                90739                            
396,"                                95,660,854                            ",                                3.33%                            ,                                HUAYU AUTOMOTIVE SYSTEMS COMPANY LIMITED (A #600741)                            ,                                90741                            
397,"                                4,516,684                            ",                                1.06%                            ,"                                CHANGCHUN FAWAY AUTOMOBILE COMPONENTS CO., LTD (A #600742)                            ",                                90742                            
398,"                                5,494,668                            ",                                0.23%                            ,"                                HUAYUAN PROPERTY CO.,LTD. (A #600743)                            ",                                90743                            
399,"                                15,200                            ",                                0.00%                            ,"                                DALIAN DAFU ENTERPRISES HOLDINGS CO.,LTD (A #600747)                            ",                                90747                            
400,"                                2,028,043                            ",                                0.14%                            ,"                                SHANGHAI INDUSTRIAL DEVELOPMENT CO.,LTD. (A #600748)                            ",                                90748                            
401,"                                5,407,052                            ",                                1.80%                            ,"                                JIANGZHONG PHARMACEUTICAL CO.,LTD (A #600750)                            ",                                90750                            
402,"                                1,694,464                            ",                                0.37%                            ,"                                SHANGHAI JIN JIANG INTERNATIONAL HOTELS DEVELOPMENT CO.,LTD. (A #600754)                            ",                                90754                            
403,"                                2,717,769                            ",                                0.16%                            ,"                                XIAMEN INTERNATIONAL TRADE GROUP CORP., LTD. (A #600755)                            ",                                90755                            
404,"                                1,623,283                            ",                                0.50%                            ,"                                INSPUR SOFTWARE CO.,LTD. (A #600756)                            ",                                90756                            
405,"                                292,868                            ",                                0.02%                            ,"                                CHANGJIANG PUBLISHING & MEDIA CO.,LTD (A #600757)                            ",                                90757                            
406,"                                18,900                            ",                                0.00%                            ,                                LIAONING HONGYANG ENERGY RESOURCE INVEST CO.LTD. (A #600758)                            ,                                90758                            
407,"                                121,829                            ",                                0.00%                            ,                                GEO-JADE PETROLEUM CORPORATION (A #600759)                            ,                                90759                            
408,"                                15,612,417                            ",                                2.53%                            ,"                                ANHUI HELI CO.,LTD. (A #600761)                            ",                                90761                            
409,"                                108,571                            ",                                0.03%                            ,                                TOPCHOICE MEDICAL INVESTMENT CO.INC (A #600763)                            ,                                90763                            
410,"                                3,916,019                            ",                                0.50%                            ,"                                AVIC HEAVY MACHINERY CO.,LTD. (A #600765)                            ",                                90765                            
411,"                                2,375,865                            ",                                0.18%                            ,"                                JIANGSU ZONGYI CO.,LTD (A #600770)                            ",                                90770                            
412,"                                499,570                            ",                                0.06%                            ,"                                TIBET URBAN DEVELOPMENT AND INVESTMENT CO.,LTD (A #600773)                            ",                                90773                            
413,"                                1,365,583                            ",                                0.20%                            ,                                NANJING PANDA ELECTRONICS COMPANY LIMITED (A #600775)                            ,                                90775                            
414,"                                2,132,913                            ",                                0.22%                            ,"                                EASTERN COMMUNICATIONS CO.,LTD. (A #600776)                            ",                                90776                            
415,"                                54,100                            ",                                0.01%                            ,"                                XINJIANG YOUHAO (GROUP) CO.,LTD (A #600778)                            ",                                90778                            
416,"                                1,222,996                            ",                                0.10%                            ,                                TOP ENERGY COMPANY LTD.SHANXI (A #600780)                            ,                                90780                            
417,"                                899,822                            ",                                0.12%                            ,"                                LUXIN VENTURE CAPITAL GROUP CO., LTD. (A #600783)                            ",                                90783                            
418,"                                99,121                            ",                                0.01%                            ,"                                LUYIN INVESTMENT GROUP CO.,LTD. (A #600784)                            ",                                90784                            
419,                                500                            ,                                0.00%                            ,"                                YINCHUAN XINHUA COMMERCIAL (GROUP) CO.,LTD. (A #600785)                            ",                                90785                            
420,"                                4,839,831                            ",                                0.26%                            ,"                                CMST DEVELOPMENT CO.,LTD. (A #600787)                            ",                                90787                            
421,"                                1,170,088                            ",                                0.11%                            ,"                                ZHEJIANG CHINA LIGHT&TEXTILE; INDUSTRIAL CITY GROUP CO.,LTD. (A #600790)                            ",                                90790                            
422,"                                1,810,824                            ",                                0.16%                            ,"                                ZHANGJIAGANG FREETRADE SCIENCE AND TECHNOLOGY CO.,LTD. (A #600794)                            ",                                90794                            
423,"                                36,009,619                            ",                                0.18%                            ,"                                GD POWER DEVELOPMENT CO., LTD (A #600795)                            ",                                90795                            
424,"                                105,300                            ",                                0.01%                            ,"                                INSIGMA TECHNOLOGY CO.,LTD. (A #600797)                            ",                                90797                            
425,"                                1,406,602                            ",                                0.14%                            ,"                                HUAXIN CEMENT CO., LTD. (A #600801)                            ",                                90801                            
426,"                                144,795                            ",                                0.03%                            ,                                FUJIAN CEMENT INC. (A #600802)                            ,                                90802                            
427,"                                317,595                            ",                                0.03%                            ,"                                ENN ECOLOGICAL HOLDINGS CO.,LTD (A #600803)                            ",                                90803                            
428,"                                29,798,616                            ",                                2.11%                            ,"                                DR.PENG TELECOM&MEDIA; GROUP CO.,LTD. (A #600804)                            ",                                90804                            
429,"                                554,190                            ",                                0.06%                            ,                                JIANGSU YUEDA INVESTMENT CO.LTD. (A #600805)                            ,                                90805                            
430,"                                1,725,900                            ",                                0.44%                            ,                                SHENJI GROUP KUNMING MACHINE TOOL COMPANY LIMITED (A #600806)                            ,                                90806                            
431,"                                1,355,848                            ",                                0.17%                            ,"                                SHANDONG TYAN HOME CO.,LTD (A #600807)                            ",                                90807                            
432,"                                12,124,847                            ",                                0.20%                            ,                                MAANSHAN IRON & STEEL COMPANY LIMITED (A #600808)                            ,                                90808                            
433,"                                2,101,209                            ",                                0.24%                            ,"                                SHANXI XINGHUACUN FEN WINE FACTORY CO.,LTD (A #600809)                            ",                                90809                            
434,"                                2,535,451                            ",                                0.10%                            ,                                ORIENT GROUP INCORPORATION (A #600811)                            ,                                90811                            
435,"                                1,598,050                            ",                                0.51%                            ,"                                HANGZHOU JIEBAI GROUP CO., LIMITED. (A #600814)                            ",                                90814                            
436,"                                14,642,303                            ",                                0.58%                            ,"                                ANXIN TRUST CO.,LTD (A #600816)                            ",                                90816                            
437,"                                437,455                            ",                                0.18%                            ,"                                ZHONGLU CO,.LTD. (A #600818)                            ",                                90818                            
438,"                                9,234,953                            ",                                0.29%                            ,"                                SHANGHAI TUNNEL ENGINEERING CO.,LTD. (A #600820)                            ",                                90820                            
439,"                                7,006,115                            ",                                0.18%                            ,"                                SHANGHAI SHIMAO CO.,LTD (A #600823)                            ",                                90823                            
440,"                                5,170,609                            ",                                0.49%                            ,"                                SHANGHAI YIMIN COMMERCIAL GROUP CO., LTD. (A #600824)                            ",                                90824                            
441,"                                1,949,556                            ",                                0.18%                            ,"                                SHANGHAI XINHUA MEDIA CO., LTD (A #600825)                            ",                                90825                            
442,"                                437,102                            ",                                0.10%                            ,                                SHANGHAI LANSHENG CORPORATION (A #600826)                            ,                                90826                            
443,"                                4,359,093                            ",                                0.28%                            ,"                                SHANGHAI BAILIAN GROUP CO., LTD. (A #600827)                            ",                                90827                            
444,"                                2,365,488                            ",                                0.41%                            ,"                                MAOYE COMMERCIAL CO., LTD. (A #600828)                            ",                                90828                            
445,"                                240,310                            ",                                0.04%                            ,                                HPGC RENMINTONGTAI PHARMACEUTICAL CORPORATION (A #600829)                            ,                                90829                            
446,"                                1,652,362                            ",                                0.36%                            ,"                                SUNNY LOAN TOP CO.,LTD (A #600830)                            ",                                90830                            
447,"                                753,564                            ",                                0.13%                            ,                                SHAANXI BROADCAST & TV NETWORK INTERMEDIARY (GROUP) CO.LTD (A #600831)                            ,                                90831                            
448,"                                28,400                            ",                                0.01%                            ,"                                SHANGHAI NO.1 PHARMACY CO.,LTD. (A #600833)                            ",                                90833                            
449,"                                2,398,727                            ",                                0.29%                            ,"                                SHANGHAI MECHANICAL & ELECTRICAL INDUSTRY CO., LTD. (A #600835)                            ",                                90835                            
450,"                                57,619,283                            ",                                0.71%                            ,                                HAITONG SECURITIES COMPANY LIMITED (A #600837)                            ,                                90837                            
451,"                                233,300                            ",                                0.05%                            ,"                                SHANGHAI JOIN BUY CO.,LTD. (A #600838)                            ",                                90838                            
452,"                                13,587,667                            ",                                0.29%                            ,"                                SICHUAN CHANGHONG ELECTRIC CO.,LTD. (A #600839)                            ",                                90839                            
453,"                                474,799                            ",                                0.09%                            ,"                                SHANGHAI BAOSIGHT SOFTWARE CO., LTD. (A #600845)                            ",                                90845                            
454,"                                2,577,710                            ",                                0.41%                            ,"                                SHANGHAI TONGJI SCIENCE & TECHNOLOGY INDUSTRIAL CO.,LTD (A #600846)                            ",                                90846                            
455,"                                879,310                            ",                                0.20%                            ,"                                SHANGHAI EAST-CHINA COMPUTER CO.,LTD (A #600850)                            ",                                90850                            
456,"                                2,350,743                            ",                                0.30%                            ,                                CHANGCHUN SINOENERGY CORPORATION (A #600856)                            ,                                90856                            
457,"                                96,632                            ",                                0.01%                            ,"                                INZONE GROUP CO.,LTD (A #600858)                            ",                                90858                            
458,"                                3,161,186                            ",                                0.52%                            ,"                                WANGFUJING GROUP CO., LTD. (A #600859)                            ",                                90859                            
459,"                                591,882                            ",                                0.18%                            ,                                BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED (A #600860)                            ,                                90860                            
460,"                                602,971                            ",                                0.07%                            ,"                                AVIC AVIATION HIGH-TECHNOLOGY CO., LTD. (A #600862)                            ",                                90862                            
461,"                                7,107,643                            ",                                0.12%                            ,                                INNER MONGOLIA MENGDIAN HUANENG THERMAL POWER CORPORATION LI (A #600863)                            ,                                90863                            
462,"                                946,401                            ",                                0.17%                            ,"                                HARBIN HATOU INVESTMENT CO.,LTD (A #600864)                            ",                                90864                            
463,"                                44,230,814                            ",                                2.70%                            ,"                                TONGHUA DONGBAO PHARMACEUTICAL CO.,LTD. (A #600867)                            ",                                90867                            
464,"                                1,403,282                            ",                                0.06%                            ,"                                FAR EAST SMARTER ENERGY CO.,LTD (A #600869)                            ",                                90869                            
465,"                                4,457,443                            ",                                0.15%                            ,                                SINOPEC OILFIELD SERVICE CORPORATION (A #600871)                            ,                                90871                            
466,"                                16,734,863                            ",                                2.10%                            ,"                                JONJEE HI-TECH INDUSTRIAL & COMMERCIAL HOLDING CO.,LTD (A #600872)                            ",                                90872                            
467,"                                9,437,440                            ",                                0.30%                            ,"                                MEIHUA HOLDINGS GROUP CO.,LTD (A #600873)                            ",                                90873                            
468,"                                850,433                            ",                                0.07%                            ,                                TIANJIN CAPITAL ENVIRONMENTAL PROTECTION GROUP CO LTD (A #600874)                            ,                                90874                            
469,"                                4,124,490                            ",                                0.20%                            ,                                DONGFANG ELECTRIC CORPORATION LIMITED (A #600875)                            ,                                90875                            
470,"                                660,527                            ",                                0.25%                            ,                                LUOYANG GLASS COMPANY LIMITED (A #600876)                            ,                                90876                            
471,"                                3,451,782                            ",                                0.16%                            ,"                                CHINA AEROSPACE TIMES ELECTRONICS CO., LTD. (A #600879)                            ",                                90879                            
472,"                                1,124,525                            ",                                0.15%                            ,"                                CHENGDU B-RAY MEDIA CO.,LTD (A #600880)                            ",                                90880                            
473,"                                3,460,019                            ",                                0.18%                            ,"                                JILIN YATAI (GROUP) CO., LTD. (A #600881)                            ",                                90881                            
474,"                                2,100                            ",                                0.00%                            ,"                                SHANGHAI GROUND FOOD TECH CO., LTD. (A #600882)                            ",                                90882                            
475,"                                4,218,723                            ",                                0.51%                            ,"                                NINGBO SHANSHAN CO.,LTD. (A #600884)                            ",                                90884                            
476,"                                5,412,527                            ",                                1.01%                            ,"                                HONGFA TECHNOLOGY CO., LTD. (A #600885)                            ",                                90885                            
477,"                                27,506,709                            ",                                0.40%                            ,"                                SDIC POWER HOLDINGS CO.,LTD. (A #600886)                            ",                                90886                            
478,"                                518,652,846                            ",                                8.59%                            ,"                                INNER MONGOLIA YILI INDUSTRIAL GROUP CO.,LTD (A #600887)                            ",                                90887                            
479,"                                2,209,233                            ",                                0.26%                            ,"                                XINJIANG JOINWORLD CO.,LTD. (A #600888)                            ",                                90888                            
480,"                                17,422                            ",                                0.00%                            ,"                                HARBIN CHURIN GROUP JOINTSTOCK CO.,LTD. (A #600891)                            ",                                90891                            
481,"                                10,327,935                            ",                                0.53%                            ,"                                AECC AVIATION POWER CO,LTD (A #600893)                            ",                                90893                            
482,"                                1,226,490                            ",                                0.14%                            ,"                                GUANGZHOU GUANGRI STOCK CO.,LTD. (A #600894)                            ",                                90894                            
483,"                                2,632,633                            ",                                0.16%                            ,"                                SHANGHAI ZHANGJIANG HI-TECH PARK DEVELOPMENT CO.,LTD (A #600895)                            ",                                90895                            
484,"                                4,199,337                            ",                                1.41%                            ,"                                XIAMEN INTERNATIONAL AIRPORT CO.,LTD (A #600897)                            ",                                90897                            
485,"                                752,357,129                            ",                                6.53%                            ,"                                CHINA YANGTZE POWER CO.,LTD. (A #600900)                            ",                                90900                            
486,"                                609,679                            ",                                0.07%                            ,"                                HUAAN SECURITIES CO., LTD. (A #600909)                            ",                                90909                            
487,"                                353,704                            ",                                0.22%                            ,                                CHONGQING GAS GROUP CORPORATION LTD. (A #600917)                            ,                                90917                            
488,"                                697,900                            ",                                0.06%                            ,"                                BANK OF JIANGSU CO., LTD. (A #600919)                            ",                                90919                            
489,"                                651,040                            ",                                0.17%                            ,"                                BANK OF HANGZHOU CO.,LTD. (A #600926)                            ",                                90926                            
490,"                                14,266,176                            ",                                0.45%                            ,                                ORIENT SECURITIES COMPANY LIMITED (A #600958)                            ,                                90958                            
491,"                                3,409,341                            ",                                0.24%                            ,                                JIANGSU BROADCASTING CABLE INFORMATION NETWORK CORPORATION LIMITED (A #600959)                            ,                                90959                            
492,"                                504,017                            ",                                0.04%                            ,"                                YUEYANG FOREST & PAPER CO., LTD. (A #600963)                            ",                                90963                            
493,"                                824,330                            ",                                0.15%                            ,"                                FORTUNE NG FUNG FOOD (HEBEI) CO., LTD (A #600965)                            ",                                90965                            
494,"                                1,801,211                            ",                                0.21%                            ,"                                INNER MONGOLIA FIRST MACHINERY GROUP CO.,LTD. (A #600967)                            ",                                90967                            
495,"                                2,179,531                            ",                                0.12%                            ,"                                SINOMA INTERNATIONAL ENGINEERING CO.,LTD. (A #600970)                            ",                                90970                            
496,"                                78,103                            ",                                0.00%                            ,"                                ANHUI HENGYUAN COAL INDUSTRY AND ELECTRICITY POWER CO., LTD. (A #600971)                            ",                                90971                            
497,"                                2,579,348                            ",                                0.28%                            ,"                                BAOSHENG SCIENCE AND TECHNOLOGY INNOVATION CO., LTD. (A #600973)                            ",                                90973                            
